54;36;60;4;0.164821
3;50;97;4;0.181412
0;51;99;3;0.168732
35;65;50;3;0.241511
54;36;60;9;0.335716
46;32;72;3;0.144068
36;64;50;6;0.225085
50;62;38;7;0.288729
0;97;53;5;0.189697
54;36;60;8;0.217407
50;62;38;3;0.125179
0;98;52;2;0.086098
0;53;97;3;0.120342
55;35;60;6;0.201308
0;97;53;6;0.188595
0;98;52;2;0.120179
51;25;74;4;0.161356
0;53;97;5;0.186551
3;50;97;5;0.141063
3;50;97;3;0.137689
3;50;97;3;0.122418
0;97;53;5;0.169426
50;63;37;2;0.152719
3;50;97;2;0.104907
50;63;37;4;0.153469
0;97;53;5;0.16286
41;59;50;3;0.110604
50;50;50;8;0.249295
54;36;60;4;0.16944
27;26;97;4;0.153917
55;35;60;7;0.188391
2;50;98;3;0.10456
0;53;97;4;0.138679
3;50;97;3;0.123241
54;37;59;5;0.142376
0;98;52;2;0.090263
52;48;50;5;0.126065
27;26;97;4;0.144469
50;35;65;3;0.104065
3;50;97;4;0.15426
37;63;50;3;0.152064
0;52;98;4;0.153157
37;63;50;5;0.141522
0;97;53;5;0.150714
2;50;98;3;0.128255
54;36;60;8;0.237175
2;50;98;3;0.112451
3;50;97;4;0.142059
50;50;50;2;0.08305
0;97;53;5;0.156174
50;62;38;2;0.114162
3;50;97;4;0.131052
2;50;98;3;0.128039
2;50;98;3;0.100474
0;98;52;3;0.114364
43;57;50;5;0.16059
55;35;60;9;0.242318
55;35;60;9;0.208969
55;35;60;7;0.202031
0;53;97;2;0.087679
51;49;50;7;0.211509
0;52;98;3;0.131842
54;36;60;8;0.231242
0;97;53;2;0.095909
0;97;53;6;0.175906
3;50;97;4;0.149346
0;52;98;3;0.121338
50;61;39;4;0.174876
0;97;53;5;0.176039
35;65;50;5;0.187889
50;26;74;5;0.178377
3;50;97;5;0.188196
54;14;82;3;0.116322
55;35;60;5;0.176603
50;62;38;4;0.156947
52;19;79;6;0.200101
51;23;76;4;0.175821
55;35;60;6;0.180111
54;36;60;8;0.204466
55;35;60;4;0.143961
50;57;43;4;0.168205
0;53;97;2;0.082056
27;26;97;5;0.178542
0;53;97;4;0.129583
53;15;82;6;0.199758
0;97;53;5;0.164645
22;31;97;5;0.204055
55;35;60;3;0.118512
27;26;97;5;0.182412
54;36;60;10;0.251674
55;35;60;7;0.208356
50;43;57;3;0.123976
50;33;67;4;0.145138
38;62;50;5;0.153292
38;62;50;7;0.190711
0;52;98;4;0.153133
0;53;97;3;0.140317
52;23;75;5;0.192401
0;97;53;3;0.111956
3;50;97;4;0.189273
